order, degree_x, degree_y, coefficient, term
9, 2, 7, 1 / 60480, "[[[[X, Y], Y], Y], [[[[X, Y], Y], Y], Y]]"
9, 1, 8, -1 / 1209600, "[[[[[[[[X, Y], Y], Y], Y], Y], Y], Y], Y]"
10, 8, 2, -1 / 2419200, "[X, [X, [X, [X, [X, [X, [X, [[X, Y], Y]]]]]]]]"
10, 8, 2, 1 / 403200, "[X, [X, [X, [X, [X, [[X, [X, Y]], [X, Y]]]]]]]"
10, 7, 3, 1 / 302400, "[X, [X, [X, [X, [X, [X, [[[X, Y], Y], Y]]]]]]]"
10, 8, 2, -1 / 241920, "[X, [X, [X, [[X, [X, [X, Y]]], [X, [X, Y]]]]]]"
10, 7, 3, -1 / 604800, "[X, [X, [X, [X, [X, [[X, Y], [[X, Y], Y]]]]]]]"
10, 7, 3, -1 / 37800, "[X, [X, [X, [X, [[X, [[X, Y], Y]], [X, Y]]]]]]"
10, 6, 4, -37 / 3628800, "[X, [X, [X, [X, [X, [[[[X, Y], Y], Y], Y]]]]]]"
10, 8, 2, 1 / 604800, "[X, [[X, [X, [X, [X, Y]]]], [X, [X, [X, Y]]]]]"
10, 7, 3, -1 / 75600, "[X, [X, [X, [[X, [X, Y]], [X, [[X, Y], Y]]]]]]"
10, 7, 3, 1 / 50400, "[X, [X, [X, [[[X, [X, Y]], [X, Y]], [X, Y]]]]]"
10, 6, 4, -1 / 56700, "[X, [X, [X, [X, [[X, Y], [[[X, Y], Y], Y]]]]]]"
10, 7, 3, 1 / 50400, "[X, [X, [[X, [X, [[X, Y], Y]]], [X, [X, Y]]]]]"
10, 6, 4, 1 / 43200, "[X, [X, [X, [[X, [[X, Y], Y]], [[X, Y], Y]]]]]"
10, 6, 4, 29 / 453600, "[X, [X, [X, [[X, [[[X, Y], Y], Y]], [X, Y]]]]]"
10, 5, 5, 1 / 67200, "[X, [X, [X, [X, [[[[[X, Y], Y], Y], Y], Y]]]]]"
10, 7, 3, 1 / 86400, "[X, [[X, [X, [X, Y]]], [X, [X, [[X, Y], Y]]]]]"
10, 7, 3, 1 / 75600, "[X, [X, [[X, [X, Y]], [[X, [X, Y]], [X, Y]]]]]"
10, 6, 4, 23 / 604800, "[X, [X, [[X, [X, Y]], [X, [[[X, Y], Y], Y]]]]]"
10, 7, 3, -1 / 60480, "[X, [[X, [[X, [X, Y]], [X, Y]]], [X, [X, Y]]]]"
10, 6, 4, -17 / 604800, "[X, [X, [X, [[X, Y], [[X, Y], [[X, Y], Y]]]]]]"
10, 6, 4, 1 / 67200, "[X, [X, [[X, [[X, Y], [[X, Y], Y]]], [X, Y]]]]"
10, 5, 5, 11 / 241920, "[X, [X, [X, [[X, Y], [[[[X, Y], Y], Y], Y]]]]]"
10, 6, 4, 1 / 134400, "[X, [[X, [X, [[X, Y], Y]]], [X, [[X, Y], Y]]]]"
10, 6, 4, -17 / 201600, "[X, [X, [[[X, [[X, Y], Y]], [X, Y]], [X, Y]]]]"
10, 5, 5, 1 / 40320, "[X, [X, [X, [[[X, Y], Y], [[[X, Y], Y], Y]]]]]"
10, 6, 4, -1 / 43200, "[X, [[X, [X, [[[X, Y], Y], Y]]], [X, [X, Y]]]]"
10, 5, 5, -1 / 30240, "[X, [X, [[X, [[[X, Y], Y], Y]], [[X, Y], Y]]]]"
10, 5, 5, -1 / 15120, "[X, [X, [[X, [[[[X, Y], Y], Y], Y]], [X, Y]]]]"
10, 4, 6, -37 / 3628800, "[X, [X, [X, [[[[[[X, Y], Y], Y], Y], Y], Y]]]]"
10, 6, 4, 1 / 50400, "[X, [[X, [X, Y]], [X, [[X, Y], [[X, Y], Y]]]]]"
10, 6, 4, -1 / 16800, "[X, [[X, [X, Y]], [[X, [[X, Y], Y]], [X, Y]]]]"
10, 5, 5, -1 / 34560, "[X, [[X, [X, Y]], [X, [[[[X, Y], Y], Y], Y]]]]"
10, 6, 4, -1 / 50400, "[X, [[[X, [X, Y]], [X, Y]], [X, [[X, Y], Y]]]]"
10, 6, 4, 1 / 100800, "[X, [[[[X, [X, Y]], [X, Y]], [X, Y]], [X, Y]]]"
10, 5, 5, 1 / 12096, "[X, [X, [[X, Y], [[X, Y], [[[X, Y], Y], Y]]]]]"
10, 5, 5, -1 / 40320, "[X, [X, [[[X, Y], [[X, Y], Y]], [[X, Y], Y]]]]"
10, 5, 5, -1 / 20160, "[X, [[X, [[X, Y], [[[X, Y], Y], Y]]], [X, Y]]]"
10, 4, 6, -23 / 604800, "[X, [X, [[X, Y], [[[[[X, Y], Y], Y], Y], Y]]]]"
10, 5, 5, 1 / 120960, "[X, [[X, [[X, Y], Y]], [X, [[[X, Y], Y], Y]]]]"
10, 5, 5, 1 / 40320, "[X, [[X, [[X, Y], Y]], [[X, Y], [[X, Y], Y]]]]"
10, 5, 5, 1 / 40320, "[X, [[[X, [[X, Y], Y]], [[X, Y], Y]], [X, Y]]]"
10, 4, 6, -11 / 241920, "[X, [X, [[[X, Y], Y], [[[[X, Y], Y], Y], Y]]]]"
10, 5, 5, 1 / 20160, "[X, [[[X, [[[X, Y], Y], Y]], [X, Y]], [X, Y]]]"
10, 4, 6, 1 / 181440, "[X, [[X, [[[X, Y], Y], Y]], [[[X, Y], Y], Y]]]"
10, 4, 6, 1 / 120960, "[X, [[X, [[[[X, Y], Y], Y], Y]], [[X, Y], Y]]]"
10, 4, 6, 1 / 43200, "[X, [[X, [[[[[X, Y], Y], Y], Y], Y]], [X, Y]]]"
10, 3, 7, 1 / 302400, "[X, [X, [[[[[[[X, Y], Y], Y], Y], Y], Y], Y]]]"
