order, degree_x, degree_y, coefficient, term
)
(
    15,
    8,
    7,
    311 / 1210809600,
    "[X, [[X, [[X, [X, Y]], [X, Y]]], [X, [X, [[[[[X, Y], Y], Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    157 / 7264857600,
    "[X, [[[X, [[X, [X, Y]], [X, Y]]], [X, [X, Y]]], [X, [X, [[X, Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -233 / 370656000,
    "[X, [[X, [[X, [X, Y]], [X, Y]]], [[X, [X, Y]], [[X, [X, Y]], [X, Y]]]]]",
)
(
    15,
    9,
    6,
    107 / 159667200,
    "[X, [[X, [[X, [X, Y]], [X, Y]]], [[X, [X, Y]], [X, [[[X, Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -289 / 151351200,
    "[X, [[[X, [[X, [X, Y]], [X, Y]]], [[X, [X, Y]], [X, Y]]], [X, [X, Y]]]]",
)
(
    15,
    9,
    6,
    29 / 21525504,
    "[X, [X, [[[X, [X, Y]], [X, Y]], [X, [[X, Y], [[X, Y], [[X, Y], Y]]]]]]]",
)
(
    15,
    9,
    6,
    19477 / 14529715200,
    "[X, [X, [[[X, [X, Y]], [X, Y]], [[X, [[X, Y], [[X, Y], Y]]], [X, Y]]]]]",
)
(
    15,
    8,
    7,
    -18619 / 14529715200,
    "[X, [X, [[[X, [X, Y]], [X, Y]], [X, [[X, Y], [[[[X, Y], Y], Y], Y]]]]]]",
)
(
    15,
    10,
    5,
    -1 / 52835328,
    "[[X, [X, [[[X, [X, Y]], [X, Y]], [X, [[X, Y], Y]]]]], [X, [X, [X, Y]]]]",
)
(
    15,
    9,
    6,
    307 / 745113600,
    "[X, [X, [[[[X, [X, Y]], [X, Y]], [X, [[X, Y], Y]]], [X, [[X, Y], Y]]]]]",
)
(
    15,
    9,
    6,
    130409 / 14529715200,
    "[X, [X, [[[X, [X, Y]], [X, Y]], [[[X, [[X, Y], Y]], [X, Y]], [X, Y]]]]]",
)
(
    15,
    8,
    7,
    2137 / 2421619200,
    "[X, [X, [[[X, [X, Y]], [X, Y]], [X, [[[X, Y], Y], [[[X, Y], Y], Y]]]]]]",
)
(
    15,
    9,
    6,
    223 / 155675520,
    "[X, [[X, [[[X, [X, Y]], [X, Y]], [X, [[[X, Y], Y], Y]]]], [X, [X, Y]]]]",
)
(
    15,
    8,
    7,
    179 / 25401600,
    "[X, [X, [[[X, [X, Y]], [X, Y]], [[X, [[[X, Y], Y], Y]], [[X, Y], Y]]]]]",
)
(
    15,
    8,
    7,
    1979 / 279417600,
    "[X, [X, [[[X, [X, Y]], [X, Y]], [[X, [[[[X, Y], Y], Y], Y]], [X, Y]]]]]",
)
(
    15,
    7,
    8,
    1367 / 1482624000,
    "[X, [X, [[[X, [X, Y]], [X, Y]], [X, [[[[[[X, Y], Y], Y], Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    5527 / 217945728000,
    "[[X, [X, [[[X, [X, Y]], [X, Y]], [X, Y]]]], [X, [X, [X, [[X, Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -2063 / 18162144000,
    "[[X, [X, [[[X, [X, Y]], [X, Y]], [X, Y]]]], [X, [[X, [X, Y]], [X, Y]]]]",
)
(
    15,
    9,
    6,
    8497 / 130767436800,
    "[X, [[X, [[[X, [X, Y]], [X, Y]], [X, Y]]], [X, [X, [[[X, Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -15553 / 7264857600,
    "[X, [[[X, [[[X, [X, Y]], [X, Y]], [X, Y]]], [X, [X, Y]]], [X, [X, Y]]]]",
)
(
    15,
    9,
    6,
    -26233 / 21794572800,
    "[X, [X, [[[[X, [X, Y]], [X, Y]], [X, Y]], [X, [[X, Y], [[X, Y], Y]]]]]]",
)
(
    15,
    9,
    6,
    181 / 340540200,
    "[X, [X, [[[[X, [X, Y]], [X, Y]], [X, Y]], [[X, [[X, Y], Y]], [X, Y]]]]]",
)
(
    15,
    8,
    7,
    3791 / 2421619200,
    "[X, [X, [[[[X, [X, Y]], [X, Y]], [X, Y]], [X, [[[[X, Y], Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -103 / 345945600,
    "[[X, [X, [[[[X, [X, Y]], [X, Y]], [X, Y]], [X, Y]]]], [X, [X, [X, Y]]]]",
)
(
    15,
    9,
    6,
    -383 / 264176640,
    "[X, [X, [[[[[X, [X, Y]], [X, Y]], [X, Y]], [X, Y]], [X, [[X, Y], Y]]]]]",
)
(
    15,
    9,
    6,
    -19477 / 21794572800,
    "[X, [X, [[[[[[X, [X, Y]], [X, Y]], [X, Y]], [X, Y]], [X, Y]], [X, Y]]]]",
)
(
    15,
    8,
    7,
    -4877 / 7264857600,
    "[X, [X, [X, [[X, Y], [[X, Y], [[X, Y], [[X, Y], [[[X, Y], Y], Y]]]]]]]]",
)
(
    15,
    9,
    6,
    -8447 / 14529715200,
    "[X, [[X, [X, [[X, Y], [[X, Y], [[X, Y], [[X, Y], Y]]]]]], [X, [X, Y]]]]",
)
(
    15,
    8,
    7,
    1801 / 1614412800,
    "[X, [X, [X, [[X, Y], [[X, Y], [[[X, Y], [[X, Y], Y]], [[X, Y], Y]]]]]]]",
)
(
    15,
    8,
    7,
    1291 / 1452971520,
    "[X, [X, [[X, [[X, Y], [[X, Y], [[X, Y], [[[X, Y], Y], Y]]]]], [X, Y]]]]",
)
(
    15,
    7,
    8,
    1457 / 1729728000,
    "[X, [X, [X, [[X, Y], [[X, Y], [[X, Y], [[[[[X, Y], Y], Y], Y], Y]]]]]]]",
)
(
    15,
    9,
    6,
    -8171 / 87178291200,
    "[X, [[X, [X, [[X, Y], [[X, Y], [[X, Y], Y]]]]], [X, [X, [[X, Y], Y]]]]]",
)
(
    15,
    9,
    6,
    -50777 / 43589145600,
    "[X, [[X, [X, [[X, Y], [[X, Y], [[X, Y], Y]]]]], [[X, [X, Y]], [X, Y]]]]",
)
(
    15,
    8,
    7,
    43 / 908107200,
    "[X, [X, [[X, [[X, Y], [[X, Y], [[X, Y], Y]]]], [X, [[[X, Y], Y], Y]]]]]",
)
(
    15,
    9,
    6,
    -109 / 18345600,
    "[X, [[X, [[X, [[X, Y], [[X, Y], [[X, Y], Y]]]], [X, Y]]], [X, [X, Y]]]]",
)
(
    15,
    8,
    7,
    -41687 / 14529715200,
    "[X, [X, [X, [[[X, Y], [[X, Y], [[X, Y], Y]]], [[X, Y], [[X, Y], Y]]]]]]",
)
(
    15,
    8,
    7,
    -99587 / 14529715200,
    "[X, [X, [[X, [[X, Y], [[[X, Y], [[X, Y], Y]], [[X, Y], Y]]]], [X, Y]]]]",
)
(
    15,
    7,
    8,
    47 / 129729600,
    "[X, [X, [X, [[X, Y], [[X, Y], [[[X, Y], Y], [[[[X, Y], Y], Y], Y]]]]]]]",
)
(
    15,
    9,
    6,
    -3011 / 13076743680,
    "[[X, [X, [X, [[X, Y], [[X, Y], [[[X, Y], Y], Y]]]]]], [X, [X, [X, Y]]]]",
)
(
    15,
    8,
    7,
    -127 / 110073600,
    "[X, [X, [[X, [[X, Y], [[X, Y], [[[X, Y], Y], Y]]]], [X, [[X, Y], Y]]]]]",
)
(
    15,
    8,
    7,
    -199 / 31046400,
    "[X, [X, [[[X, [[X, Y], [[X, Y], [[[X, Y], Y], Y]]]], [X, Y]], [X, Y]]]]",
)
(
    15,
    7,
    8,
    -4283 / 1556755200,
    "[X, [X, [X, [[X, Y], [[[X, Y], [[[X, Y], Y], Y]], [[[X, Y], Y], Y]]]]]]",
)
(
    15,
    8,
    7,
    -10139 / 6706022400,
    "[X, [[X, [X, [[X, Y], [[X, Y], [[[[X, Y], Y], Y], Y]]]]], [X, [X, Y]]]]",
)
(
    15,
    7,
    8,
    -5699 / 1037836800,
    "[X, [X, [X, [[X, Y], [[[X, Y], [[[[X, Y], Y], Y], Y]], [[X, Y], Y]]]]]]",
)
(
    15,
    7,
    8,
    -14771 / 5189184000,
    "[X, [X, [[X, [[X, Y], [[X, Y], [[[[[X, Y], Y], Y], Y], Y]]]], [X, Y]]]]",
)
(
    15,
    6,
    9,
    -12139 / 31135104000,
    "[X, [X, [X, [[X, Y], [[X, Y], [[[[[[[X, Y], Y], Y], Y], Y], Y], Y]]]]]]",
)
(
    15,
    9,
    6,
    2251 / 130767436800,
    "[[X, [X, [X, [[X, Y], [[X, Y], Y]]]]], [X, [X, [X, [[[X, Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -593 / 18162144000,
    "[[X, [X, [X, [[X, Y], [[X, Y], Y]]]]], [[X, [X, [X, Y]]], [X, [X, Y]]]]",
)
(
    15,
    9,
    6,
    61 / 87178291200,
    "[[X, [X, [X, [[X, Y], [[X, Y], Y]]]]], [X, [X, [[X, Y], [[X, Y], Y]]]]]",
)
(
    15,
    9,
    6,
    137 / 670602240,
    "[X, [[X, [X, [[X, Y], [[X, Y], Y]]]], [X, [[X, [[X, Y], Y]], [X, Y]]]]]",
)
(
    15,
    8,
    7,
    179 / 1743565824,
    "[X, [[X, [X, [[X, Y], [[X, Y], Y]]]], [X, [X, [[[[X, Y], Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -1049 / 7264857600,
    "[[X, [[X, [X, [[X, Y], [[X, Y], Y]]]], [X, [X, Y]]]], [X, [X, [X, Y]]]]",
)
(
    15,
    9,
    6,
    -31 / 377395200,
    "[X, [[X, [X, [[X, Y], [[X, Y], Y]]]], [[X, [X, Y]], [X, [[X, Y], Y]]]]]",
)
(
    15,
    9,
    6,
    -623 / 889574400,
    "[X, [[X, [X, [[X, Y], [[X, Y], Y]]]], [[[X, [X, Y]], [X, Y]], [X, Y]]]]",
)
(
    15,
    8,
    7,
    -7793 / 21794572800,
    "[X, [X, [[X, [[X, Y], [[X, Y], Y]]], [X, [[X, Y], [[[X, Y], Y], Y]]]]]]",
)
(
    15,
    9,
    6,
    -977 / 14529715200,
    "[X, [[X, [[X, [[X, Y], [[X, Y], Y]]], [X, [[X, Y], Y]]]], [X, [X, Y]]]]",
)
(
    15,
    8,
    7,
    379 / 264176640,
    "[X, [X, [[X, [[X, Y], [[X, Y], Y]]], [[X, [[X, Y], Y]], [[X, Y], Y]]]]]",
)
(
    15,
    8,
    7,
    8791 / 2724321600,
    "[X, [X, [[X, [[X, Y], [[X, Y], Y]]], [[X, [[[X, Y], Y], Y]], [X, Y]]]]]",
)
(
    15,
    7,
    8,
    3739 / 5189184000,
    "[X, [X, [[X, [[X, Y], [[X, Y], Y]]], [X, [[[[[X, Y], Y], Y], Y], Y]]]]]",
)
(
    15,
    9,
    6,
    -1093 / 4151347200,
    "[X, [[X, [[X, [[X, Y], [[X, Y], Y]]], [X, Y]]], [X, [X, [[X, Y], Y]]]]]",
)
(
    15,
    9,
    6,
    -36097 / 14529715200,
    "[X, [[X, [[X, [[X, Y], [[X, Y], Y]]], [X, Y]]], [[X, [X, Y]], [X, Y]]]]",
)
(
    15,
    8,
    7,
    551 / 403603200,
    "[X, [X, [[[X, [[X, Y], [[X, Y], Y]]], [X, Y]], [X, [[[X, Y], Y], Y]]]]]",
)
(
    15,
    9,
    6,
    -47657 / 7264857600,
    "[X, [[X, [[[X, [[X, Y], [[X, Y], Y]]], [X, Y]], [X, Y]]], [X, [X, Y]]]]",
)
(
    15,
    8,
    7,
    -6499 / 1452971520,
    "[X, [X, [[X, [[X, Y], [[X, Y], Y]]], [[X, Y], [[X, Y], [[X, Y], Y]]]]]]",
)
(
    15,
    8,
    7,
    -27109 / 4843238400,
    "[X, [X, [[[X, [[X, Y], [[X, Y], Y]]], [[X, Y], [[X, Y], Y]]], [X, Y]]]]",
)
(
    15,
    7,
    8,
    -1 / 322560,
    "[X, [X, [X, [[[X, Y], [[X, Y], Y]], [[X, Y], [[[[X, Y], Y], Y], Y]]]]]]",
)
(
    15,
    9,
    6,
    1609 / 21794572800,
    "[[X, [X, [X, [[[X, Y], [[X, Y], Y]], [[X, Y], Y]]]]], [X, [X, [X, Y]]]]",
)
(
    15,
    8,
    7,
    683 / 1210809600,
    "[X, [X, [[X, [[[X, Y], [[X, Y], Y]], [[X, Y], Y]]], [X, [[X, Y], Y]]]]]",
)
(
    15,
    8,
    7,
    -3097 / 2421619200,
    "[X, [X, [[[X, [[[X, Y], [[X, Y], Y]], [[X, Y], Y]]], [X, Y]], [X, Y]]]]",
)
(
    15,
    7,
    8,
    1021 / 518918400,
    "[X, [X, [X, [[X, Y], [[[X, Y], Y], [[[X, Y], Y], [[[X, Y], Y], Y]]]]]]]",
)
(
    15,
    8,
    7,
    -697 / 1614412800,
    "[X, [[X, [X, [[X, Y], [[[X, Y], Y], [[[X, Y], Y], Y]]]]], [X, [X, Y]]]]",
)
(
    15,
    7,
    8,
    31 / 23063040,
    "[X, [X, [X, [[[X, Y], [[[X, Y], Y], [[[X, Y], Y], Y]]], [[X, Y], Y]]]]]",
)
(
    15,
    7,
    8,
    -203 / 74131200,
    "[X, [X, [[X, [[X, Y], [[[X, Y], Y], [[[[X, Y], Y], Y], Y]]]], [X, Y]]]]",
)
(
    15,
    6,
    9,
    -53507 / 62270208000,
    "[X, [X, [X, [[X, Y], [[[X, Y], Y], [[[[[[X, Y], Y], Y], Y], Y], Y]]]]]]",
)
(
    15,
    9,
    6,
    -3881 / 130767436800,
    "[[X, [X, [X, [[X, Y], [[[X, Y], Y], Y]]]]], [X, [X, [X, [[X, Y], Y]]]]]",
)
(
    15,
    9,
    6,
    1187 / 32691859200,
    "[[X, [X, [X, [[X, Y], [[[X, Y], Y], Y]]]]], [X, [[X, [X, Y]], [X, Y]]]]",
)
(
    15,
    8,
    7,
    661 / 10897286400,
    "[X, [[X, [X, [[X, Y], [[[X, Y], Y], Y]]]], [X, [X, [[[X, Y], Y], Y]]]]]",
)
(
    15,
    9,
    6,
    25 / 83026944,
    "[X, [[[X, [X, [[X, Y], [[[X, Y], Y], Y]]]], [X, [X, Y]]], [X, [X, Y]]]]",
)
(
    15,
    8,
    7,
    113 / 2724321600,
    "[X, [[X, [X, [[X, Y], [[[X, Y], Y], Y]]]], [X, [[X, Y], [[X, Y], Y]]]]]",
)
(
    15,
    8,
    7,
    137 / 67267200,
    "[X, [X, [[X, [[X, Y], [[[X, Y], Y], Y]]], [[X, [[X, Y], Y]], [X, Y]]]]]",
)
(
    15,
    7,
    8,
    251 / 518918400,
    "[X, [X, [[X, [[X, Y], [[[X, Y], Y], Y]]], [X, [[[[X, Y], Y], Y], Y]]]]]",
)
(
    15,
    9,
    6,
    1609 / 10897286400,
    "[[X, [X, [[X, [[X, Y], [[[X, Y], Y], Y]]], [X, Y]]]], [X, [X, [X, Y]]]]",
)
(
    15,
    8,
    7,
    683 / 605404800,
    "[X, [X, [[[X, [[X, Y], [[[X, Y], Y], Y]]], [X, Y]], [X, [[X, Y], Y]]]]]",
)
(
    15,
    8,
    7,
    -3097 / 3632428800,
    "[X, [X, [[[[X, [[X, Y], [[[X, Y], Y], Y]]], [X, Y]], [X, Y]], [X, Y]]]]",
)
(
    15,
    7,
    8,
    29 / 103783680,
    "[X, [X, [[X, [[X, Y], [[[X, Y], Y], Y]]], [[X, Y], [[[X, Y], Y], Y]]]]]",
)
(
    15,
    8,
    7,
    6169 / 1981324800,
    "[X, [[X, [X, [[[X, Y], [[[X, Y], Y], Y]], [[X, Y], Y]]]], [X, [X, Y]]]]",
)
(
    15,
    7,
    8,
    7417 / 1037836800,
    "[X, [X, [X, [[[[X, Y], [[[X, Y], Y], Y]], [[X, Y], Y]], [[X, Y], Y]]]]]",
)
(
    15,
    7,
    8,
    265 / 62270208,
    "[X, [X, [[X, [[[X, Y], [[[X, Y], Y], Y]], [[[X, Y], Y], Y]]], [X, Y]]]]",
)
(
    15,
    6,
    9,
    -673 / 1245404160,
    "[X, [X, [X, [[X, Y], [[[[X, Y], Y], Y], [[[[[X, Y], Y], Y], Y], Y]]]]]]",
)
(
    15,
    8,
    7,
    443 / 43589145600,
    "[X, [[X, [X, [[X, Y], [[[[X, Y], Y], Y], Y]]]], [X, [X, [[X, Y], Y]]]]]",
)
(
    15,
    8,
    7,
    12851 / 21794572800,
    "[X, [[X, [X, [[X, Y], [[[[X, Y], Y], Y], Y]]]], [[X, [X, Y]], [X, Y]]]]",
)
(
    15,
    7,
    8,
    97 / 194594400,
    "[X, [X, [[X, [[X, Y], [[[[X, Y], Y], Y], Y]]], [X, [[[X, Y], Y], Y]]]]]",
)
(
    15,
    8,
    7,
    47527 / 17435658240,
    "[X, [[X, [[X, [[X, Y], [[[[X, Y], Y], Y], Y]]], [X, Y]]], [X, [X, Y]]]]",
)
(
    15,
    7,
    8,
    149 / 103783680,
    "[X, [X, [[X, [[X, Y], [[[[X, Y], Y], Y], Y]]], [[X, Y], [[X, Y], Y]]]]]",
)
(
    15,
    7,
    8,
    9847 / 1037836800,
    "[X, [X, [[X, [[[X, Y], [[[[X, Y], Y], Y], Y]], [[X, Y], Y]]], [X, Y]]]]",
)
(
    15,
    6,
    9,
    163 / 142331904,
    "[X, [X, [X, [[[X, Y], [[[[X, Y], Y], Y], Y]], [[[[X, Y], Y], Y], Y]]]]]",
)
(
    15,
    8,
    7,
    21587 / 145297152000,
    "[[X, [X, [X, [[X, Y], [[[[[X, Y], Y], Y], Y], Y]]]]], [X, [X, [X, Y]]]]",
)
(
    15,
    7,
    8,
    1447 / 1729728000,
    "[X, [X, [[X, [[X, Y], [[[[[X, Y], Y], Y], Y], Y]]], [X, [[X, Y], Y]]]]]",
)
(
    15,
    7,
    8,
    5557 / 1729728000,
    "[X, [X, [[[X, [[X, Y], [[[[[X, Y], Y], Y], Y], Y]]], [X, Y]], [X, Y]]]]",
)
(
    15,
    6,
    9,
    3301 / 1415232000,
    "[X, [X, [X, [[[X, Y], [[[[[X, Y], Y], Y], Y], Y]], [[[X, Y], Y], Y]]]]]",
)
(
    15,
    7,
    8,
    21547 / 31135104000,
    "[X, [[X, [X, [[X, Y], [[[[[[X, Y], Y], Y], Y], Y], Y]]]], [X, [X, Y]]]]",
)
(
    15,
    6,
    9,
    64003 / 31135104000,
    "[X, [X, [X, [[[X, Y], [[[[[[X, Y], Y], Y], Y], Y], Y]], [[X, Y], Y]]]]]",
)
(
    15,
    6,
    9,
    9319 / 10378368000,
    "[X, [X, [[X, [[X, Y], [[[[[[[X, Y], Y], Y], Y], Y], Y], Y]]], [X, Y]]]]",
)
(
    15,
    5,
    10,
    31781 / 523069747200,
    "[X, [X, [X, [[X, Y], [[[[[[[[[X, Y], Y], Y], Y], Y], Y], Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -353 / 18162144000,
    "[[X, [X, [X, [[X, Y], Y]]]], [X, [[X, [X, [[X, Y], Y]]], [X, [X, Y]]]]]",
)
(
    15,
    9,
    6,
    -23 / 1089728640,
    "[[X, [X, [X, [[X, Y], Y]]]], [X, [X, [[X, [[X, Y], Y]], [[X, Y], Y]]]]]",
)
(
    15,
    9,
    6,
    -1343 / 18681062400,
    "[[X, [X, [X, [[X, Y], Y]]]], [X, [X, [[X, [[[X, Y], Y], Y]], [X, Y]]]]]",
)
(
    15,
    8,
    7,
    -331 / 19372953600,
    "[[X, [X, [X, [[X, Y], Y]]]], [X, [X, [X, [[[[[X, Y], Y], Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -101 / 8717829120,
    "[[X, [X, [X, [[X, Y], Y]]]], [[X, [X, [X, Y]]], [X, [X, [[X, Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -239 / 6810804000,
    "[[X, [X, [X, [[X, Y], Y]]]], [X, [[X, [X, Y]], [[X, [X, Y]], [X, Y]]]]]",
)
(
    15,
    9,
    6,
    -439 / 10897286400,
    "[[X, [X, [X, [[X, Y], Y]]]], [X, [[X, [X, Y]], [X, [[[X, Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -191 / 3353011200,
    "[[X, [X, [X, [[X, Y], Y]]]], [[X, [[X, [X, Y]], [X, Y]]], [X, [X, Y]]]]",
)
(
    15,
    9,
    6,
    71 / 2724321600,
    "[[X, [X, [X, [[X, Y], Y]]]], [X, [X, [[X, Y], [[X, Y], [[X, Y], Y]]]]]]",
)
(
    15,
    9,
    6,
    -431 / 7264857600,
    "[[X, [X, [X, [[X, Y], Y]]]], [X, [[X, [[X, Y], [[X, Y], Y]]], [X, Y]]]]",
)
(
    15,
    8,
    7,
    -1031 / 19372953600,
    "[[X, [X, [X, [[X, Y], Y]]]], [X, [X, [[X, Y], [[[[X, Y], Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -61 / 6227020800,
    "[[[X, [X, [X, [[X, Y], Y]]]], [X, [X, [[X, Y], Y]]]], [X, [X, [X, Y]]]]",
)
(
    15,
    9,
    6,
    4259 / 58118860800,
    "[X, [[X, [X, [[X, Y], Y]]], [[X, [X, [[X, Y], Y]]], [X, [[X, Y], Y]]]]]",
)
(
    15,
    9,
    6,
    6997 / 9686476800,
    "[X, [[X, [X, [[X, Y], Y]]], [X, [[[X, [[X, Y], Y]], [X, Y]], [X, Y]]]]]",
)
(
    15,
    8,
    7,
    2843 / 29059430400,
    "[X, [[X, [X, [[X, Y], Y]]], [X, [X, [[[X, Y], Y], [[[X, Y], Y], Y]]]]]]",
)
(
    15,
    9,
    6,
    109 / 389188800,
    "[X, [[X, [X, [[X, Y], Y]]], [[X, [X, [[[X, Y], Y], Y]]], [X, [X, Y]]]]]",
)
(
    15,
    8,
    7,
    479 / 889574400,
    "[X, [[X, [X, [[X, Y], Y]]], [X, [[X, [[[X, Y], Y], Y]], [[X, Y], Y]]]]]",
)
(
    15,
    8,
    7,
    8713 / 17435658240,
    "[X, [[X, [X, [[X, Y], Y]]], [X, [[X, [[[[X, Y], Y], Y], Y]], [X, Y]]]]]",
)
(
    15,
    7,
    8,
    1283 / 20756736000,
    "[X, [[X, [X, [[X, Y], Y]]], [X, [X, [[[[[[X, Y], Y], Y], Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -23 / 168168000,
    "[[X, [[X, [X, [[X, Y], Y]]], [X, [X, Y]]]], [X, [[X, [X, Y]], [X, Y]]]]",
)
(
    15,
    9,
    6,
    1571 / 14529715200,
    "[X, [[[X, [X, [[X, Y], Y]]], [X, [X, Y]]], [X, [X, [[[X, Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -31 / 31449600,
    "[X, [[[[X, [X, [[X, Y], Y]]], [X, [X, Y]]], [X, [X, Y]]], [X, [X, Y]]]]",
)
(
    15,
    9,
    6,
    -1 / 5765760,
    "[X, [[X, [X, [[X, Y], Y]]], [[X, [X, Y]], [X, [[X, Y], [[X, Y], Y]]]]]]",
)
(
    15,
    9,
    6,
    491 / 1452971520,
    "[X, [[X, [X, [[X, Y], Y]]], [[X, [X, Y]], [[X, [[X, Y], Y]], [X, Y]]]]]",
)
(
    15,
    8,
    7,
    62723 / 174356582400,
    "[X, [[X, [X, [[X, Y], Y]]], [[X, [X, Y]], [X, [[[[X, Y], Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -2099 / 6227020800,
    "[[X, [[X, [X, [[X, Y], Y]]], [[X, [X, Y]], [X, Y]]]], [X, [X, [X, Y]]]]",
)
(
    15,
    9,
    6,
    -113 / 223534080,
    "[X, [[X, [X, [[X, Y], Y]]], [[[X, [X, Y]], [X, Y]], [X, [[X, Y], Y]]]]]",
)
(
    15,
    9,
    6,
    -2843 / 2905943040,
    "[X, [[X, [X, [[X, Y], Y]]], [[[[X, [X, Y]], [X, Y]], [X, Y]], [X, Y]]]]",
)
(
    15,
    8,
    7,
    -5809 / 14529715200,
    "[X, [[X, [X, [[X, Y], Y]]], [X, [[X, Y], [[X, Y], [[[X, Y], Y], Y]]]]]]",
)
(
    15,
    9,
    6,
    -5177 / 4843238400,
    "[X, [[[X, [X, [[X, Y], Y]]], [X, [[X, Y], [[X, Y], Y]]]], [X, [X, Y]]]]",
)
(
    15,
    8,
    7,
    -2999 / 29059430400,
    "[X, [[X, [X, [[X, Y], Y]]], [X, [[[X, Y], [[X, Y], Y]], [[X, Y], Y]]]]]",
)
(
    15,
    8,
    7,
    -2999 / 14529715200,
    "[X, [[X, [X, [[X, Y], Y]]], [[X, [[X, Y], [[[X, Y], Y], Y]]], [X, Y]]]]",
)
(
    15,
    7,
    8,
    709 / 3459456000,
    "[X, [[X, [X, [[X, Y], Y]]], [X, [[X, Y], [[[[[X, Y], Y], Y], Y], Y]]]]]",
)
(
    15,
    9,
    6,
    -17 / 726485760,
    "[[X, [[X, [X, [[X, Y], Y]]], [X, [[X, Y], Y]]]], [X, [X, [[X, Y], Y]]]]",
)
(
    15,
    9,
    6,
    -599 / 745113600,
    "[X, [[[X, [X, [[X, Y], Y]]], [X, [[X, Y], Y]]], [[X, [X, Y]], [X, Y]]]]",
)
(
    15,
    8,
    7,
    -43289 / 87178291200,
    "[X, [X, [[X, [[X, Y], Y]], [[X, [[X, Y], Y]], [X, [[[X, Y], Y], Y]]]]]]",
)
(
    15,
    9,
    6,
    -4057 / 7264857600,
    "[X, [[X, [[X, [[X, Y], Y]], [[X, [[X, Y], Y]], [X, Y]]]], [X, [X, Y]]]]",
)
(
    15,
    8,
    7,
    1657 / 880588800,
    "[X, [X, [[X, [[X, Y], Y]], [[X, [[X, Y], Y]], [[X, Y], [[X, Y], Y]]]]]]",
)
(
    15,
    8,
    7,
    152651 / 29059430400,
    "[X, [X, [[X, [[X, Y], Y]], [[[X, [[X, Y], Y]], [[X, Y], Y]], [X, Y]]]]]",
)
(
    15,
    7,
    8,
    -289 / 691891200,
    "[X, [X, [[X, [[X, Y], Y]], [X, [[[X, Y], Y], [[[[X, Y], Y], Y], Y]]]]]]",
)
(
    15,
    9,
    6,
    71 / 1556755200,
    "[[X, [X, [[X, [[X, Y], Y]], [X, [[[X, Y], Y], Y]]]]], [X, [X, [X, Y]]]]",
)
(
    15,
    8,
    7,
    -1229 / 87178291200,
    "[X, [[X, [[X, [[X, Y], Y]], [X, [[[X, Y], Y], Y]]]], [X, [[X, Y], Y]]]]",
)
(
    15,
    8,
    7,
    6617 / 1117670400,
    "[X, [X, [[X, [[X, Y], Y]], [[[X, [[[X, Y], Y], Y]], [X, Y]], [X, Y]]]]]",
)
(
    15,
    7,
    8,
    523 / 345945600,
    "[X, [X, [[X, [[X, Y], Y]], [[X, [[[X, Y], Y], Y]], [[[X, Y], Y], Y]]]]]",
)
(
    15,
    8,
    7,
    149 / 178827264,
    "[X, [[X, [[X, [[X, Y], Y]], [X, [[[[X, Y], Y], Y], Y]]]], [X, [X, Y]]]]",
)
(
    15,
    7,
    8,
    703 / 230630400,
    "[X, [X, [[X, [[X, Y], Y]], [[X, [[[[X, Y], Y], Y], Y]], [[X, Y], Y]]]]]",
)
(
    15,
    7,
    8,
    259 / 98841600,
    "[X, [X, [[X, [[X, Y], Y]], [[X, [[[[[X, Y], Y], Y], Y], Y]], [X, Y]]]]]",
)
(
    15,
    6,
    9,
    33349 / 145297152000,
    "[X, [X, [[X, [[X, Y], Y]], [X, [[[[[[[X, Y], Y], Y], Y], Y], Y], Y]]]]]",
)
(
    15,
    9,
    6,
    -2663 / 65383718400,
    "[[X, [X, [[X, [[X, Y], Y]], [X, Y]]]], [X, [X, [X, [[[X, Y], Y], Y]]]]]",
)
(
    15,
    10,
    5,
    -677 / 3302208000,
    "[[X, [X, [[X, [[X, Y], Y]], [X, Y]]]], [[X, [X, [X, Y]]], [X, [X, Y]]]]",
)
(
    15,
    9,
    6,
    -2129 / 21794572800,
    "[[X, [X, [[X, [[X, Y], Y]], [X, Y]]]], [X, [X, [[X, Y], [[X, Y], Y]]]]]",
)
(
    15,
    9,
    6,
    -29 / 396264960,
